Title,Year,Rating
Zwartboek,2006,7.7
Badlands,1973,7.7
The Quiet Man,1952,7.7
Finding Neverland,2004,7.7
Spoorloos,1988,7.7
Fantasia,1940,7.7
The African Queen,1951,7.7
Chun gwong cha sit,1997,7.7
Hedwig and the Angry Inch,2001,7.7
Abre los ojos,1997,7.7
Beasts of No Nation,2015,7.7
Short Cuts,1993,7.7
The Caine Mutiny,1954,7.7
Waking Life,2001,7.7
Kurenai no buta,1992,7.7
Invasion of the Body Snatchers,1956,7.7
Omoide no Marnie,2014,7.7
Nebraska,2013,7.7
À bout de souffle,1960,7.7
Hamlet,1996,7.7
Zulu,1964,7.7
Down by Law,1986,7.7
Good Bye Lenin!,2003,7.7
Perfetti sconosciuti,2016,7.7
Le Petit Prince,2015,7.7
Lat sau san taam,1992,7.7
Cape Fear,1962,7.7
Night on Earth,1991,7.7
Diarios de motocicleta,2004,7.7
La double vie de Véronique,1991,7.7
A Man for All Seasons,1966,7.7
Scarface,1932,7.7
Key Largo,1948,7.7
The Broken Circle Breakdown,2012,7.7
Kokuhaku,2010,7.7
Les triplettes de Belleville,2003,7.7
Black Narcissus,1947,7.7
Frost/Nixon,2008,7.7
Forushande,2016,7.7
The Lady Vanishes,1938,7.7
Yume,1990,7.7
Ta'm e guilass,1997,7.7
Toki o kakeru shôjo,2006,7.7
The Magdalene Sisters,2002,7.7
Ondskan,2003,7.7
Gongdong gyeongbi guyeok JSA,2000,7.7
Das Experiment,2001,7.7
Adams æbler,2005,7.7
Love and Death,1975,7.7
In America,2002,7.7
Efter brylluppet,2006,7.7
The Breadwinner,2017,7.7
Hana-bi,1997,7.7
The Purple Rose of Cairo,1985,7.7
Jules et Jim,1962,7.7
Zelig,1983,7.7
Le passé,2013,7.7
The Muppet Christmas Carol,1992,7.7
Auf der anderen Seite,2007,7.7
Avatar: The Way of Water,2022,7.6
Harry Potter and the Sorcerer's Stone,2001,7.6
Once Upon a Time in... Hollywood,2019,7.6
American Psycho,2000,7.6
Guardians of the Galaxy Vol. 2,2017,7.6
A Star Is Born,2018,7.6
Deadpool 2,2018,7.6
300,2006,7.6
Moana,I) (2016,7.6
Watchmen,2009,7.6
Superbad,2007,7.6
The Fifth Element,1997,7.6
Sicario,2015,7.6
Office Space,1999,7.6
The Royal Tenenbaums,2001,7.6
RoboCop,1987,7.6
Moneyball,2011,7.6
Inside Man,2006,7.6
Kick-Ass,2010,7.6
True Grit,2010,7.6
Hell or High Water,II) (2016,7.6
Saw,2004,7.6
Stardust,2007,7.6
Rushmore,1998,7.6
The Butterfly Effect,2004,7.6
Star Wars: Episode III - Revenge of the Sith,2005,7.6
Mad Max 2,1981,7.6
Minority Report,2002,7.6
Dark City,1998,7.6
Kung Fu Panda,2008,7.6
My Cousin Vinny,1992,7.6
Mulan,1998,7.6
What We Do in the Shadows,2014,7.6
Searching,III) (2018,7.6
The Blind Side,2009,7.6
Eastern Promises,2007,7.6
The Fly,1986,7.6
The Thin Red Line,1998,7.6
The Birds,1963,7.6
La piel que habito,2011,7.6
The Others,2001,7.6
Lethal Weapon,1987,7.6
The Mitchells vs the Machines,2021,7.6
Despicable Me,2010,7.6
Gone Baby Gone,2007,7.6
Dark Waters,2019,7.6
Dawn of the Planet of the Apes,2014,7.6
Serbuan maut,2011,7.6
The Jungle Book,1967,7.6
After Hours,I) (1985,7.6
Enter the Dragon,1973,7.6
Gake no ue no Ponyo,2008,7.6
End of Watch,2012,7.6
Snow White and the Seven Dwarfs,1937,7.6
Rebel Without a Cause,1955,7.6
Die Hard with a Vengeance,1995,7.6
Match Point,2005,7.6
The Naked Gun: From the Files of Police Squad!,1988,7.6
The Bridges of Madison County,1995,7.6
I Am Sam,2001,7.6
50/50,2011,7.6
The Last King of Scotland,2006,7.6
Sabrina,1954,7.6
21 Grams,2003,7.6
25th Hour,2002,7.6
Barton Fink,1991,7.6
From Here to Eternity,1953,7.6
The Taking of Pelham One Two Three,1974,7.6
United 93,2006,7.6
Shine,1996,7.6
Philomena,2013,7.6
Control,2007,7.6
The Invisible Man,1933,7.6
Un long dimanche de fiançailles,2004,7.6
Celda 211,2009,7.6
